,Amount missing,Persentage missing
"SCQ,SCQ_31",2,0.06165228113440197
"SCQ,SCQ_16",2,0.06165228113440197
"ASSQ,ASSQ_01",2,0.06165228113440197
"CBCL,CBCL_81",2,0.06165228113440197
"SCQ,SCQ_21",2,0.06165228113440197
"CBCL,CBCL_64",2,0.06165228113440197
"SCQ,SCQ_22",2,0.06165228113440197
"SympChck,CSC_09C",2,0.06165228113440197
"SCQ,SCQ_33",2,0.06165228113440197
"SWAN,SWAN_04",2,0.06165228113440197
"CBCL,CBCL_61",2,0.06165228113440197
"SWAN,SWAN_05",2,0.06165228113440197
"CBCL,CBCL_08",2,0.06165228113440197
"CBCL,CBCL_42",2,0.06165228113440197
"ASSQ,ASSQ_18",2,0.06165228113440197
"ASSQ,ASSQ_09",2,0.06165228113440197
"SCQ,SCQ_10",2,0.06165228113440197
"CBCL,CBCL_107",2,0.06165228113440197
"SRS,SRS_59",2,0.06165228113440197
"SRS,SRS_58",2,0.06165228113440197
"CBCL,CBCL_110",2,0.06165228113440197
"SRS,SRS_56",2,0.06165228113440197
"SRS,SRS_55",2,0.06165228113440197
"ASSQ,ASSQ_15",2,0.06165228113440197
"SRS,SRS_53",2,0.06165228113440197
"CBCL,CBCL_13",2,0.06165228113440197
"ARI_P,ARI_P_07",2,0.06165228113440197
"CBCL,CBCL_14",2,0.06165228113440197
"SDQ,SDQ_01",2,0.06165228113440197
"SCQ,SCQ_12",2,0.06165228113440197
"CBCL,CBCL_31",2,0.06165228113440197
"SympChck,CSC_04C",2,0.06165228113440197
"SRS,SRS_24",2,0.06165228113440197
"CBCL,CBCL_20",2,0.06165228113440197
"SRS,SRS_26",2,0.06165228113440197
"CBCL,CBCL_24",2,0.06165228113440197
"CBCL,CBCL_26",2,0.06165228113440197
"SRS,SRS_43",2,0.06165228113440197
"CBCL,CBCL_18",2,0.06165228113440197
"SRS,SRS_27",2,0.06165228113440197
"ASSQ,ASSQ_22",2,0.06165228113440197
"ASSQ,ASSQ_11",1,0.030826140567200986
