,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
61,"[0.878828197945845, 0.9142, 0.714]","[0.8824985717006285, 0.8473, 0.8908]","[0.8904022754977652, 0.9158, 0.7269]","[0.8624557913351016, 0.7758, 0.8221]","[0.9175937698664971, 0.8454, 0.8864]","[0.8869513558848197, 0.8469, 0.7996]","[0.88124632569077, 0.852, 0.7839]"
62,"[0.8792950513538749, 0.9142, 0.714]","[0.8824985717006285, 0.8473, 0.8908]","[0.8892157659488014, 0.8971, 0.7409]","[0.8629255083996463, 0.7758, 0.8301]","[0.9175778766687858, 0.8454, 0.8864]","[0.8870037741123846, 0.8469, 0.7996]","[0.88124632569077, 0.852, 0.7839]"
63,"[0.8779178338001867, 0.9284, 0.6912]","[0.8824985717006285, 0.8473, 0.8908]","[0.8897521332791548, 0.9158, 0.7217]","[0.8629807692307692, 0.7758, 0.8317]","[0.9175778766687858, 0.8454, 0.8864]","[0.886933883142298, 0.8469, 0.7996]","[0.8812358276643991, 0.852, 0.7839]"
64,"[0.8777544351073763, 0.9284, 0.6912]","[0.8824985717006285, 0.8473, 0.8908]","[0.8891832588378709, 0.8971, 0.7391]","[0.862842617152962, 0.7758, 0.8285]","[0.9175778766687858, 0.8454, 0.8864]","[0.8868989376572547, 0.8469, 0.7996]","[0.8811938355589148, 0.852, 0.7839]"
65,"[0.8739962651727358, 0.9284, 0.6895]","[0.8824985717006285, 0.8473, 0.8908]","[0.8897846403900853, 0.9158, 0.72]","[0.8634781167108754, 0.7758, 0.8317]","[0.9160680228862047, 0.8545, 0.8689]","[0.8866543192619514, 0.8469, 0.7979]","[0.8800810447635844, 0.852, 0.7901]"
66,"[0.8736694677871149, 0.9284, 0.6781]","[0.8824985717006285, 0.8473, 0.8908]","[0.8898659081674116, 0.9065, 0.7356]","[0.8635610079575596, 0.7758, 0.8349]","[0.9158931977113796, 0.8363, 0.8864]","[0.886357282639083, 0.8673, 0.7825]","[0.8801755270009237, 0.852, 0.7881]"
67,"[0.8728991596638656, 0.9142, 0.6863]","[0.8824985717006285, 0.8473, 0.8908]","[0.8893295408370581, 0.8971, 0.7374]","[0.864445181255526, 0.8102, 0.7933]","[0.9150667514303877, 0.8363, 0.8829]","[0.8863747553816046, 0.8673, 0.7825]","[0.8803434954228605, 0.8724, 0.7695]"
68,"[0.8732726423902895, 0.8999, 0.6977]","[0.8824985717006285, 0.8473, 0.8908]","[0.8893620479479886, 0.8317, 0.7896]","[0.8643622900088417, 0.8102, 0.7933]","[0.915368722186904, 0.8363, 0.8846]","[0.886357282639083, 0.8673, 0.7825]","[0.8804904677920551, 0.852, 0.7881]"
69,"[0.873202614379085, 0.8999, 0.6977]","[0.8824985717006285, 0.8473, 0.8908]","[0.8903372612759041, 0.8224, 0.7948]","[0.8644451812555262, 0.8102, 0.7933]","[0.915368722186904, 0.8363, 0.8846]","[0.8863572826390831, 0.8673, 0.7842]","[0.8807844125304443, 0.8469, 0.7901]"
70,"[0.8721288515406163, 0.9142, 0.6977]","[0.8824985717006285, 0.8473, 0.8908]","[0.8897521332791548, 0.8878, 0.7374]","[0.86394783377542, 0.8102, 0.7933]","[0.9154799745708838, 0.8363, 0.8846]","[0.8859903550461281, 0.8571, 0.7962]","[0.8811308474006887, 0.8469, 0.7901]"
