,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type
23,"[0.8307072829131653, 0.7142, 0.7876]","[0.8826890116168348, 0.8473, 0.8908]","[0.8740024380333198, 0.7943, 0.833]","[0.836718059239611, 0.8275, 0.758]","[0.9002542911633822, 0.8908, 0.8164]","[0.8716801789208833, 0.8877, 0.7312]","[0.844167296548249, 0.8418, 0.6852]"
24,"[0.8302637721755369, 0.7142, 0.7876]","[0.8826890116168348, 0.8473, 0.8908]","[0.8741487200325071, 0.7943, 0.8348]","[0.8364141246684351, 0.8275, 0.7596]","[0.8989510489510489, 0.8908, 0.8164]","[0.8713656695554934, 0.8877, 0.7277]","[0.844671201814059, 0.7959, 0.7222]"
25,"[0.8281862745098039, 0.7142, 0.7925]","[0.8937345267568082, 0.8473, 0.894]","[0.8756928078017067, 0.785, 0.8365]","[0.8352812776304155, 0.8102, 0.7596]","[0.8992053401144311, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8450281347106744, 0.8112, 0.7202]"
26,"[0.828092903828198, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.875091426249492, 0.7943, 0.8278]","[0.8361930813439434, 0.8102, 0.7596]","[0.8991417673235855, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8449966406315613, 0.8163, 0.7078]"
27,"[0.8274393090569561, 0.6999, 0.7974]","[0.8826890116168348, 0.8473, 0.8908]","[0.8741487200325071, 0.7943, 0.833]","[0.8367456896551724, 0.8102, 0.7612]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8452800873435794, 0.8112, 0.7119]"
28,"[0.8255018674136322, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8756115400243804, 0.785, 0.8365]","[0.8366904288240495, 0.8102, 0.7612]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8464033761652809, 0.8367, 0.6955]"
29,"[0.8245681605975723, 0.6999, 0.7892]","[0.8826890116168348, 0.8473, 0.8908]","[0.8741162129215766, 0.7943, 0.8313]","[0.8369114721485412, 0.8102, 0.7612]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.84568951037205, 0.8418, 0.6914]"
30,"[0.8245681605975723, 0.6999, 0.7892]","[0.8826890116168348, 0.8473, 0.8908]","[0.8756765542462414, 0.8037, 0.8174]","[0.8369667329796641, 0.8102, 0.7612]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8450701268161586, 0.8418, 0.6893]"
31,"[0.8246148459383753, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8741487200325071, 0.7943, 0.8313]","[0.8378094606542883, 0.8275, 0.7532]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.844933652473335, 0.8469, 0.6811]"
32,"[0.8246381886087769, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8745550589191384, 0.7943, 0.8278]","[0.8378370910698497, 0.8102, 0.758]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8445347274712353, 0.852, 0.6769]"
33,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8744087769199513, 0.7943, 0.8278]","[0.8374778956675508, 0.8275, 0.7468]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.844702695893172, 0.852, 0.679]"
34,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8739861844778545, 0.7943, 0.833]","[0.8390942749778957, 0.8275, 0.75]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8444612412866381, 0.852, 0.6769]"
35,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8746525802519302, 0.7943, 0.8261]","[0.8396192528735632, 0.793, 0.7885]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8450281347106744, 0.852, 0.6769]"
36,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8743437626980902, 0.7943, 0.8296]","[0.8425480769230769, 0.8102, 0.7724]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8453535735281767, 0.8571, 0.6769]"
37,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8750426655830963, 0.785, 0.8365]","[0.8442059018567638, 0.8102, 0.774]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.845700008398421, 0.8571, 0.6811]"
38,"[0.8248015873015873, 0.6999, 0.7925]","[0.8702832113611012, 0.8473, 0.8973]","[0.8742624949207639, 0.7943, 0.8296]","[0.8450624447391688, 0.8102, 0.774]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8458574787939868, 0.8571, 0.6831]"
39,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.875026412027631, 0.7943, 0.8261]","[0.8453663793103449, 0.793, 0.7868]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.845909968925842, 0.8571, 0.679]"
40,"[0.8248015873015873, 0.6999, 0.7925]","[0.8826890116168348, 0.8473, 0.8908]","[0.8749939049167006, 0.7943, 0.8278]","[0.8445927276746242, 0.8102, 0.7772]","[0.8993324856961221, 0.8908, 0.8164]","[0.8714530332681016, 0.8877, 0.7277]","[0.8457420005039052, 0.8622, 0.6749]"
